,ExperimentName,Parameters,nbCasCovidConnuTotal-repli1,nbCasCovidConnuTotal-repli2,nbCasCovidConnuTotal-repli3,nbCasCovidConnuTotal-Mean,nbCasCovidConnuTotal-Std,nbMortTotal-repli1,nbMortTotal-repli2,nbMortTotal-repli3,nbMortTotal-Mean,nbMortTotal-Std,epidemic_duration-repli1,epidemic_duration-repli2,epidemic_duration-repli3,epidemic_duration-Mean,epidemic_duration-Std,tauxDeMortCasConnu-repli1,tauxDeMortCasConnu-repli2,tauxDeMortCasConnu-repli3,tauxDeMortCasConnu-Mean,tauxDeMortCasConnu-Std,tauxMortalitePopulationGlobale-repli1,tauxMortalitePopulationGlobale-repli2,tauxMortalitePopulationGlobale-repli3,tauxMortalitePopulationGlobale-Mean,tauxMortalitePopulationGlobale-Std,epidemicDuration-repli1,epidemicDuration-repli2,epidemicDuration-repli3,epidemicDuration-Mean,epidemicDuration-Std
41,"[0, 0, 0, 2, 2, 1]-variantVaccin9-variantDpt2","[0, 0, 0, 2, 2, 1]",867846.0,864947.0,1658971.0,1130588.0,373625.0768412991,4534.0,4717.0,9219.0,6156.666666666667,2166.685076844861,,,,,,0.5224429219008903,0.545351333665531,0.5557059164988417,0.5411667240217543,0.013898199423160987,0.20938172357086812,0.21783272829373293,0.42573668054694164,0.2843170441371809,0.10005828315506306,160.0,142.0,360.0,220.66666666666666,98.79721093679157
42,"[0, 0, 0, 2, 2, 2]-variantVaccin9-variantDpt3","[0, 0, 0, 2, 2, 2]",1925297.0,1925906.0,1925253.0,1925485.3333333333,297.99813571378075,13185.0,12979.0,13325.0,13163.0,142.1079401957071,,,,,,0.6848294055410671,0.6739165878293126,0.6921168282817894,0.683620940550723,0.0074791924188225365,0.6088879632293552,0.5993748103719226,0.6153532127441151,0.6078719954484644,0.006562594938527392,41.0,37.0,37.0,38.333333333333336,1.8856180831641267
43,"[0, 0, 0, 2, 2, 3]-variantVaccin9-variantDpt4","[0, 0, 0, 2, 2, 3]",2147689.0,2147542.0,2147571.0,2147600.6666666665,63.573229865687615,6338.0,6562.0,6440.0,6446.666666666667,91.56903892085407,,,,,,0.2951079043567295,0.3055586340104175,0.2998736712313586,0.3001800698661685,0.004271989986425404,0.2926910816039176,0.30303548082753345,0.2974014776789569,0.2977093467034693,0.004228690603214879,17.0,18.0,18.0,17.666666666666668,0.4714045207910317
44,"[0, 0, 0, 2, 2, 4]-variantVaccin9-variantDpt5","[0, 0, 0, 2, 2, 4]",2163812.0,2163750.0,2163734.0,2163765.3333333335,33.6386021641143,5983.0,5835.0,5995.0,5937.666666666667,72.76140613142535,,,,,,0.27650276456549827,0.26967071057192377,0.2770673289785158,0.2744136013719793,0.0033616407799416386,0.2762970560486334,0.26946236370445864,0.2768512202927558,0.2742035466819493,0.003360147469174645,13.0,13.0,12.0,12.666666666666666,0.4714045207910317
45,"[0, 0, 1, 0, 0, 0]-variantVaccin10-variantDpt1","[0, 0, 1, 0, 0, 0]",226.0,284.0,241.0,250.33333333333334,24.580932086115496,4.0,1.0,4.0,3.0,1.4142135623730951,,,,,,1.7699115044247788,0.35211267605633806,1.6597510373443984,1.2605917392751718,0.6439640198836523,0.00018472141470742668,4.618035367685667e-05,0.00018472141470742668,0.00013854106103057,6.530888248499692e-05,28.0,58.0,54.0,46.666666666666664,13.299958228840001
46,"[0, 0, 1, 0, 0, 1]-variantVaccin10-variantDpt2","[0, 0, 1, 0, 0, 1]",1315708.0,1323233.0,1332342.0,1323761.0,6801.057613832327,20727.0,20798.0,21478.0,21001.0,338.5331101482788,,,,,,1.5753495456438664,1.5717564480329616,1.6120485581029496,1.586384850593259,0.018206171114351608,0.9571801906602081,0.960458995771265,0.9918616362715276,0.9698336075676669,0.01563357875797382,95.0,87.0,91.0,91.0,3.265986323710904
47,"[0, 0, 1, 0, 0, 2]-variantVaccin10-variantDpt3","[0, 0, 1, 0, 0, 2]",12723802.0,12804262.0,12767883.0,12765315.666666666,32897.784123284386,68365.0,67853.0,68685.0,68301.0,342.66407262312555,,,,,,0.5373000931639772,0.5299251139971988,0.5379513581068999,0.5350588550893586,0.0036398268921720178,3.1571198791183064,3.1334755380357557,3.1718975922949006,3.1541643364829874,0.0158243480660881,364.0,364.0,364.0,364.0,0.0
48,"[0, 0, 1, 0, 0, 3]-variantVaccin10-variantDpt4","[0, 0, 1, 0, 0, 3]",2138223.0,2138021.0,29359024.0,11211756.0,12832056.263074623,17517.0,17418.0,92388.0,42441.0,35317.88552560869,,,,,,0.8192316704104295,0.8146786210238347,0.3146834853910675,0.6495312589417773,0.23678042733522794,0.8089412553574984,0.8043694003434896,4.266510515497434,1.959940390399474,1.6309924446913464,18.0,17.0,364.0,133.0,163.34217663134854
49,"[0, 0, 1, 0, 0, 4]-variantVaccin10-variantDpt5","[0, 0, 1, 0, 0, 4]",2157551.0,2157391.0,2157444.0,2157462.0,66.54822812567339,15646.0,15930.0,15901.0,15825.666666666666,127.59397408272157,,,,,,0.7251740515056191,0.738391881675598,0.737029559052286,0.733531830744501,0.005935954631840961,0.7225378136280994,0.7356530340723267,0.7343138038156979,0.7308348838387081,0.005892334850175767,14.0,13.0,13.0,13.333333333333334,0.4714045207910317
50,"[0, 0, 1, 0, 1, 0]-variantVaccin11-variantDpt1","[0, 0, 1, 0, 1, 0]",158.0,146.0,145.0,149.66666666666666,5.9066817155564495,0.0,1.0,2.0,1.0,0.816496580927726,,,,,,0.0,0.684931506849315,1.3793103448275863,0.6880806172256339,0.5631054930823178,0.0,4.618035367685667e-05,9.236070735371334e-05,4.618035367685667e-05,3.770610088318661e-05,24.0,15.0,14.0,17.666666666666668,4.4969125210773475
